customernumber,date,salutation,title,domain,datecreated,newsletter,model,paymenttype,deliverytype,invoicepostcode,delivpostcode,voucher,advertisingdatacode,case,numberitems,gift,entry,points,shippingcosts,deliverydatepromised,deliverydatereal,weight,remi,cancel,used,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,target90
65291,01/04/2008,1,0,8,01/04/2008,0,3,1,1,42,,0,,2,2,0,1,0,0,03/04/2008,02/04/2008,335,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
426,01/04/2008,0,0,8,01/04/2008,0,2,0,0,51,,0,,4,2,0,1,0,0,02/04/2008,01/04/2008,303,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
31576,01/04/2008,2,0,8,01/04/2008,0,1,0,0,32,,0,,3,4,0,0,0,0,03/04/2009,16/04/2008,1053,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
6477,01/04/2008,1,1,9,01/04/2008,1,3,1,1,99,,0,,4,5,0,1,0,0,06/04/2009,10/10/2008,1670,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1
6236,01/04/2008,1,0,12,01/04/2008,0,2,0,0,58,,1,,1,1,0,1,0,0,02/05/2008,02/04/2008,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65320,01/04/2008,1,0,9,01/04/2008,0,1,0,0,6,,0,,2,2,0,0,0,1,03/04/2009,23/05/2009,112,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
55546,01/04/2008,1,0,9,01/04/2008,0,1,3,0,59,,0,AB,2,1,0,0,0,0,03/04/2008,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8172,01/04/2008,1,0,2,01/04/2008,1,1,0,0,24,,0,AB,4,1,0,0,0,0,02/04/2008,01/04/2008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25951,01/04/2008,0,1,12,01/04/2008,0,1,3,0,37,,0,,5,6,0,0,0,0,03/04/2008,02/04/2008,2251,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0
31046,01/04/2008,1,0,9,01/04/2008,0,1,1,1,22,,0,,3,1,0,0,0,0,06/04/2009,0000-00-00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2564,01/04/2008,0,0,4,01/04/2008,0,3,1,1,78,,0,,4,1,0,1,0,0,03/04/2008,02/04/2008,830,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12194,01/04/2008,1,0,9,01/04/2008,0,1,0,0,21,,0,,4,2,0,0,0,0,02/04/2008,02/04/2008,1026,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
17028,01/04/2008,0,0,4,01/04/2008,0,1,0,0,31,,0,BQ,1,1,0,0,0,1,15/04/2008,12/04/2008,402,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30996,01/04/2008,0,0,8,01/04/2008,0,1,1,1,29,,0,,5,2,0,0,0,0,02/04/2008,01/04/2008,500,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
29407,01/04/2008,1,0,12,01/04/2008,0,3,0,0,86,,0,,3,1,0,1,0,1,06/04/2009,16/04/2008,554,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6208,01/04/2008,0,0,12,01/04/2008,0,1,0,0,26,,0,BQ,4,2,0,0,0,0,02/04/2008,01/04/2008,959,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
28395,01/04/2008,2,0,9,01/04/2008,0,1,3,0,21,30,0,,2,1,0,0,0,1,02/04/2008,01/04/2008,354,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13472,01/04/2008,1,0,8,01/04/2008,0,1,3,0,50,,0,,2,1,0,0,0,1,06/04/2009,19/09/2009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4631,01/04/2008,1,0,12,01/04/2008,0,1,3,0,54,,0,,2,1,0,0,0,0,03/04/2008,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57391,01/04/2008,1,0,12,01/04/2008,1,1,0,0,18,,0,,2,1,0,0,0,1,02/05/2008,05/04/2008,134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36625,01/04/2008,0,0,9,01/04/2008,0,1,0,0,33,,0,BQ,4,3,0,0,0,0,19/05/2008,20/05/2008,956,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
20369,01/04/2008,0,0,8,01/04/2008,0,1,2,0,63,,0,,4,1,0,0,0,0,02/04/2008,02/04/2008,648,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
28601,01/04/2008,2,0,9,01/04/2008,0,1,0,0,6,6,0,,4,2,0,0,0,0,02/04/2008,01/04/2008,863,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
49827,01/04/2008,1,0,12,01/04/2008,0,3,0,0,96,,0,,4,1,0,1,0,0,03/04/2008,02/04/2008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6972,01/04/2008,1,0,12,01/04/2008,0,1,0,0,81,,0,,3,1,0,0,0,0,03/04/2008,02/04/2008,642,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2739,01/04/2008,1,0,8,01/04/2008,0,1,0,0,71,,0,BQ,5,4,0,0,0,0,02/05/2008,24/04/2008,1705,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1
7315,01/04/2008,0,0,5,01/04/2008,0,1,0,0,52,,0,,2,1,0,0,0,1,03/04/2008,02/04/2008,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58571,01/04/2008,1,0,4,01/04/2008,0,1,3,0,61,,0,BQ,2,1,0,0,0,0,03/04/2008,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11865,01/04/2008,2,0,5,01/04/2008,0,1,0,0,14,,0,BQ,2,1,0,0,0,0,03/04/2008,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1912,01/04/2008,1,0,4,01/04/2008,0,3,2,0,76,,0,,4,2,0,1,0,0,02/04/2008,01/04/2008,304,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
52199,01/04/2008,0,0,12,01/04/2008,0,1,0,0,17,17,0,,4,1,0,0,0,0,03/04/2009,25/04/2008,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18967,01/04/2008,1,0,12,01/04/2008,0,3,2,0,13,,0,,3,1,0,1,0,0,03/04/2008,02/04/2008,620,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11716,01/04/2008,1,0,12,01/04/2008,0,3,2,0,96,96,0,,4,2,0,1,0,0,06/04/2009,16/04/2008,555,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
43399,01/04/2008,1,0,11,01/04/2008,0,1,2,0,49,49,0,,3,1,0,0,0,0,06/04/2009,14/04/2008,611,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51669,01/04/2008,0,0,4,01/04/2008,0,1,0,0,24,,0,,2,1,0,0,0,1,02/04/2008,01/04/2008,241,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5596,01/04/2008,0,0,2,01/04/2008,0,2,2,0,46,,0,,4,1,0,1,0,0,03/04/2008,02/04/2008,983,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39602,01/04/2008,0,0,9,01/04/2008,0,1,2,0,93,,0,,3,2,0,0,0,0,02/04/2008,01/04/2008,683,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
50416,01/04/2008,0,0,9,01/04/2008,0,1,0,0,67,,0,,4,3,0,0,0,0,03/04/2008,02/04/2008,944,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
44572,01/04/2008,0,0,2,01/04/2008,0,2,1,1,58,,0,,3,1,0,1,0,0,02/04/2008,02/04/2008,118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60701,01/04/2008,0,0,4,01/04/2008,0,1,2,0,81,,0,,3,2,0,0,0,0,03/04/2008,02/04/2008,475,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
38883,01/04/2008,2,0,6,01/04/2008,0,1,0,0,70,,0,,2,1,0,0,0,1,02/04/2008,01/04/2008,224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14429,01/04/2008,1,0,12,01/04/2008,0,1,3,0,35,,0,,2,1,0,0,0,0,03/04/2008,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50944,01/04/2008,0,0,12,01/04/2008,0,3,1,1,49,,0,,5,4,0,1,0,0,03/04/2009,17/04/2008,1266,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
52570,01/04/2008,0,0,6,01/04/2008,0,1,1,1,91,,0,,1,1,0,0,0,0,03/04/2008,02/04/2008,423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45049,01/04/2008,0,0,4,01/04/2008,0,2,1,1,54,,0,,2,1,0,1,0,0,03/04/2008,02/04/2008,267,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28406,01/04/2008,0,0,9,01/04/2008,0,3,1,1,56,,0,,4,2,0,1,0,0,03/04/2008,02/04/2008,695,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61330,01/04/2008,1,0,9,01/04/2008,0,1,3,0,42,,0,BQ,1,1,0,0,0,0,03/04/2008,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3717,01/04/2008,1,0,12,01/04/2008,0,1,2,0,35,,0,,2,1,0,0,0,1,15/04/2008,03/04/2008,324,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29648,01/04/2008,1,0,12,01/04/2008,0,1,0,0,22,,0,,4,2,0,0,0,0,03/04/2008,02/04/2008,313,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
66121,01/04/2008,1,0,4,01/04/2008,0,1,2,0,35,,0,,5,2,0,0,0,0,02/04/2008,02/04/2008,715,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
10428,01/04/2008,1,0,1,01/04/2008,1,1,3,0,10,,0,AB,2,1,0,0,0,0,03/04/2008,0000-00-00,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
19270,01/04/2008,1,0,12,01/04/2008,0,3,0,0,27,,0,,4,1,0,1,0,0,03/04/2008,02/04/2008,938,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62482,01/04/2008,1,0,4,01/04/2008,1,3,1,1,80,,0,,4,2,0,1,0,0,03/04/2008,08/04/2008,1197,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60696,01/04/2008,0,0,12,01/04/2008,0,2,1,1,44,,0,,4,2,0,1,0,0,02/04/2008,02/04/2008,933,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
54406,01/04/2008,1,0,8,01/04/2008,0,3,1,1,65,,0,,5,2,0,1,0,0,02/04/2008,02/04/2008,471,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
21474,01/04/2008,0,0,12,01/04/2008,0,3,0,0,85,,0,,4,1,0,1,0,0,02/05/2008,02/04/2008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17876,01/04/2008,2,0,12,01/04/2008,0,3,2,0,22,,0,,5,2,0,1,0,0,02/04/2008,01/04/2008,599,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
9793,01/04/2008,0,0,4,01/04/2008,0,3,0,0,80,,0,,5,2,0,1,0,0,02/04/2008,02/04/2008,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
51887,01/04/2008,1,0,0,01/04/2008,0,1,2,0,65,,0,AB,3,1,0,0,0,0,02/04/2008,01/04/2008,386,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35741,01/04/2008,1,0,12,01/04/2008,0,2,0,0,47,,1,,3,1,0,1,0,0,03/04/2008,02/04/2008,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54253,01/04/2008,0,0,2,01/04/2008,0,3,0,0,97,,0,,4,2,0,1,0,0,06/04/2009,16/04/2008,791,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
51749,01/04/2008,0,0,12,01/04/2008,1,3,1,1,44,,0,,4,3,0,1,0,0,02/05/2008,02/04/2008,784,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
30044,01/04/2008,0,0,5,01/04/2008,0,1,0,0,59,,0,BQ,3,5,0,0,0,0,02/04/2008,02/04/2008,1700,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
45469,01/04/2008,2,0,12,01/04/2008,0,1,0,0,64,,0,,5,2,0,0,0,0,02/04/2008,01/04/2008,1531,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
56559,01/04/2008,2,0,12,01/04/2008,0,3,1,1,24,,0,,2,1,0,1,0,0,03/04/2008,02/04/2008,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16279,01/04/2008,1,0,9,01/04/2008,0,1,2,0,64,59,0,,2,1,0,0,0,1,03/04/2008,02/04/2008,335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3270,01/04/2008,2,0,12,01/04/2008,0,2,0,0,41,,0,,5,1,0,1,0,0,02/05/2008,02/04/2008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
47539,01/04/2008,0,0,8,01/04/2008,0,1,0,0,6,,0,BR,2,2,0,0,0,1,02/04/2008,01/04/2008,560,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
32623,01/04/2008,1,0,12,01/04/2008,0,2,0,0,50,,0,,4,1,0,1,0,0,02/04/2008,01/04/2008,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27743,01/04/2008,1,0,9,01/04/2008,0,1,2,0,74,,0,BT,5,1,0,0,0,0,02/04/2008,02/04/2008,793,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38529,01/04/2008,0,0,8,01/04/2008,0,1,0,0,50,,0,,4,2,0,0,0,0,02/04/2008,01/04/2008,813,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
62724,01/04/2008,0,0,8,01/04/2008,0,3,1,1,26,,0,,3,1,0,1,0,0,03/04/2008,03/04/2008,798,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64275,01/04/2008,1,0,12,01/04/2008,0,3,0,0,55,,0,,4,1,0,1,0,0,15/04/2008,16/04/2008,855,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
7622,01/04/2008,0,0,2,01/04/2008,1,1,2,0,34,,0,,3,2,0,0,0,1,02/05/2008,02/04/2008,971,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
33956,01/04/2008,2,0,6,01/04/2008,0,1,0,0,21,,0,,3,2,0,0,0,0,02/04/2008,01/04/2008,636,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
36359,01/04/2008,0,0,9,01/04/2008,0,1,2,0,68,,1,,3,4,0,0,0,0,02/04/2008,02/04/2008,1380,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
54942,01/04/2008,0,0,9,01/04/2008,0,2,0,0,41,,0,,3,1,0,1,0,0,03/04/2008,02/04/2008,427,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4573,01/04/2008,1,0,6,01/04/2008,0,1,2,0,21,,0,,4,2,0,0,0,0,02/05/2008,02/04/2008,498,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33514,01/04/2008,0,0,12,01/04/2008,0,2,0,0,52,,0,,2,1,0,1,0,1,02/04/2008,01/04/2008,560,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46212,01/04/2008,0,0,12,01/04/2008,1,1,0,0,49,,0,,2,1,0,0,0,1,15/04/2008,04/04/2008,186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29098,01/04/2008,1,0,0,01/04/2008,0,1,2,0,34,,0,,3,1,0,0,0,0,02/04/2008,01/04/2008,586,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9052,01/04/2008,0,0,9,01/04/2008,0,3,1,1,83,,0,,2,2,0,1,0,0,03/04/2008,08/04/2008,162,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
62633,01/04/2008,0,0,12,01/04/2008,0,1,0,0,28,,0,BQ,4,5,0,0,0,0,02/05/2008,02/04/2008,1137,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1
37888,01/04/2008,0,0,8,01/04/2008,0,3,0,0,49,,0,,3,1,0,1,0,0,03/04/2008,02/04/2008,741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19945,01/04/2008,2,0,4,01/04/2008,0,1,0,0,82,81,0,,4,1,0,0,0,0,03/04/2009,0000-00-00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32181,01/04/2008,2,0,9,01/04/2008,0,3,0,0,90,,0,,3,1,0,1,0,1,06/04/2009,16/04/2008,554,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28943,01/04/2008,0,0,12,01/04/2008,0,3,1,1,67,,0,,4,2,0,1,0,0,02/04/2008,01/04/2008,812,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
49573,01/04/2008,1,0,9,01/04/2008,0,1,3,0,60,,0,,3,2,0,0,0,0,03/04/2008,02/04/2008,482,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7250,01/04/2008,1,0,4,01/04/2008,0,2,2,0,48,,1,,1,4,0,1,0,0,15/04/2008,17/05/2008,802,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
30399,01/04/2008,0,0,9,01/04/2008,0,3,0,0,78,,0,,5,4,0,1,0,0,03/04/2008,02/04/2008,1220,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
60302,01/04/2008,1,0,8,01/04/2008,0,1,0,0,79,,0,,4,2,0,0,0,0,03/04/2008,02/04/2008,975,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
40871,01/04/2008,2,0,8,01/04/2008,0,1,0,0,41,,0,BQ,2,1,0,0,0,1,02/04/2008,0000-00-00,643,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10918,01/04/2008,2,0,2,01/04/2008,0,1,0,0,9,,0,,4,2,0,0,0,0,02/04/2008,0000-00-00,735,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15348,01/04/2008,1,0,12,01/04/2008,0,1,0,0,20,,0,,4,1,0,0,0,0,03/04/2008,02/04/2008,544,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
13976,01/04/2008,2,0,9,01/04/2008,0,3,0,0,18,,0,,3,2,0,1,0,0,03/04/2008,02/04/2008,274,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
54626,01/04/2008,0,0,8,01/04/2008,1,3,0,0,69,,0,,4,5,0,1,0,0,02/04/2008,01/04/2008,1744,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
61190,01/04/2008,0,0,12,01/04/2008,0,3,1,1,65,,0,,4,2,0,1,0,0,15/04/2008,05/04/2008,237,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
12034,01/04/2008,0,0,11,01/04/2008,0,2,0,0,50,,0,,4,1,0,1,0,0,03/04/2008,02/04/2008,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31459,01/04/2008,1,0,12,01/04/2008,0,3,1,1,57,,0,,4,3,0,1,0,0,02/04/2008,01/04/2008,1183,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
51939,01/04/2008,2,0,5,01/04/2008,0,1,2,0,24,,0,,4,3,0,0,0,0,06/04/2009,02/04/2008,1265,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
31503,01/04/2008,1,0,4,01/04/2008,0,3,1,1,10,,0,,1,1,0,1,0,0,15/04/2008,08/04/2008,182,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1406,01/04/2008,0,0,12,01/04/2008,0,1,3,0,52,52,0,,3,2,0,0,0,0,02/04/2008,02/04/2008,504,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
4758,01/04/2008,0,0,0,01/04/2008,0,3,0,0,84,,0,,3,1,0,1,0,1,06/04/2009,16/04/2008,554,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8316,01/04/2008,0,0,12,01/04/2008,0,2,0,0,50,50,0,,4,1,0,1,0,0,03/04/2008,02/04/2008,881,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14760,01/04/2008,0,0,12,01/04/2008,1,2,2,0,51,,0,,3,2,0,1,0,0,15/04/2008,16/04/2008,782,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
54674,02/04/2008,2,0,12,02/04/2008,0,1,3,0,85,,0,BQ,3,2,0,0,0,0,03/04/2008,0000-00-00,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
27755,02/04/2008,1,0,8,02/04/2008,0,1,0,0,66,,0,AB,3,2,0,0,0,0,02/05/2008,03/04/2008,812,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
45134,02/04/2008,2,0,12,02/04/2008,0,1,2,0,24,24,0,,4,3,0,0,0,0,02/05/2008,03/04/2008,1457,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
62629,02/04/2008,1,0,9,02/04/2008,0,1,2,0,20,,0,,3,1,0,0,0,0,02/05/2008,04/04/2008,757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2933,02/04/2008,2,0,12,02/04/2008,0,2,0,0,52,,0,,5,1,0,1,0,0,02/05/2008,05/05/2009,657,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5230,02/04/2008,1,0,4,02/04/2008,0,1,2,0,60,,0,,3,1,0,0,0,0,02/05/2008,11/04/2008,757,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55163,02/04/2008,2,0,2,02/04/2008,0,1,2,0,22,,1,,4,1,0,0,0,0,02/05/2008,03/04/2008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66029,02/04/2008,0,0,9,02/04/2008,0,1,0,0,31,,0,,2,1,0,0,0,1,02/05/2008,03/04/2008,429,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14099,02/04/2008,0,0,11,02/04/2008,1,1,2,0,45,,1,,4,2,0,0,0,0,02/05/2008,03/04/2008,1486,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7325,02/04/2008,0,0,9,02/04/2008,1,1,2,0,35,,0,,4,1,0,0,0,0,02/05/2008,03/04/2008,804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61637,02/04/2008,1,0,4,02/04/2008,0,1,2,0,77,,0,,3,1,0,0,0,1,02/05/2008,0000-00-00,818,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64263,02/04/2008,0,0,6,01/04/2008,1,1,3,0,92,,0,BQ,1,1,0,0,0,0,03/04/2008,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
17573,02/04/2008,1,0,8,02/04/2008,0,3,1,1,91,,0,,5,1,0,1,0,0,02/05/2008,02/04/2008,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19021,02/04/2008,0,0,9,02/04/2008,0,3,2,0,68,,0,,2,1,0,1,0,1,02/05/2008,03/04/2008,294,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26282,02/04/2008,0,0,12,02/04/2008,0,2,1,1,46,,0,,4,1,0,1,0,0,02/05/2008,02/04/2008,754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58365,02/04/2008,2,0,0,02/04/2008,0,1,0,0,30,,0,,5,1,0,0,0,0,02/05/2008,02/04/2008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2144,02/04/2008,1,1,0,02/04/2008,0,1,3,0,72,,0,,5,1,0,0,0,0,02/05/2008,11/11/2008,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26661,02/04/2008,1,0,8,02/04/2008,0,1,2,0,89,,0,,4,4,0,0,0,0,02/05/2008,03/04/2008,1707,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
6720,02/04/2008,0,0,12,02/04/2008,0,1,3,0,38,,0,,2,1,0,0,0,1,02/05/2008,03/04/2008,525,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
22445,02/04/2008,0,0,12,02/04/2008,0,1,0,0,58,40,0,CA,3,1,0,0,0,0,02/05/2008,03/04/2008,170,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46453,02/04/2008,0,0,11,02/04/2008,0,1,1,1,52,,0,,1,1,0,0,0,0,02/05/2008,19/04/2008,215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51164,02/04/2008,2,0,12,02/04/2008,0,1,0,0,31,,0,,2,1,0,0,0,1,02/05/2008,16/04/2008,471,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
28132,02/04/2008,1,0,9,02/04/2008,0,1,3,0,54,,0,BQ,5,5,0,0,0,0,02/05/2008,03/04/2008,2423,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
65930,02/04/2008,0,0,11,02/04/2008,1,2,1,1,58,,0,,4,3,0,1,0,0,02/05/2008,02/04/2008,539,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
4343,02/04/2008,0,0,4,02/04/2008,0,1,2,0,30,,1,,1,1,0,0,0,0,02/05/2008,03/04/2008,385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53486,02/04/2008,1,0,5,02/04/2008,0,1,3,0,86,,0,,3,1,0,0,0,0,02/05/2008,04/04/2008,903,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16660,02/04/2008,2,0,4,02/04/2008,0,1,2,0,14,,0,,3,1,0,0,0,0,02/05/2008,02/04/2008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65144,02/04/2008,0,0,9,02/04/2008,0,1,2,0,35,,0,,4,1,0,0,0,0,02/05/2008,29/04/2008,829,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
